category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description
Resource management,resiliency,Set up cluster auto-scaling,713c7428-658d-4191-b557-f399ab288c7a,,Low,https://docs.microsoft.com/en-us/azure/aks/cluster-autoscaler,,,,,,"To maintain the availability of applications and guarantee available resources, set up cluster auto-scaling"
Resource management,resources,Enable cluster autoscaling,f7437eb7-f905-432e-acfd-5f9a0d8c8d6e,,Medium,https://docs.microsoft.com/en-us/azure/aks/cluster-autoscaler,,,,,,"To keep up with application demands in Azure Kubernetes Service (AKS), you may need to adjust the number of nodes that run your workloads. The cluster autoscaler component can watch for pods in your cluster that can't be scheduled because of resource constraints."
Resource management,resources,Sizing of the nodes,546f5e69-bb05-43c6-91e1-6d8aa628b477,,Medium,https://learnk8s.io/kubernetes-node-size,,,,,,"what type of worker nodes should I use, and how many of them is a critical question which requires the analysis of the workloads deployed on your cluster to get the best values of it"
Resource management,security,Use placement proximity group to improve performance,5c5b8628-3e5f-4e4c-84ef-1e166bf325a2,,Low,https://docs.microsoft.com/en-us/azure/aks/reduce-latency-ppg,,,,,,"When deploying your application in Azure, spreading Virtual Machine (VM) instances across regions or availability zones creates network latency, which may impact the overall performance of your application. A proximity placement group is a logical grouping used to make sure Azure compute resources are physically located close to each other"
Storage,storage,Choose the right storage type,11272322-5bb5-48a3-954a-78d35a2dde3e,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#choose-the-appropriate-storage-type,,,,,,"Understand the needs of your application to pick the right storage. Use high performance, SSD-backed storage for production workloads. Plan for network-based storage when there is a need for multiple concurrent connections."
Storage,storage,Size the nodes for storage needs,de008b1a-2127-4908-a840-de8af19e7001,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#size-the-nodes-for-storage-needs,,,,,,Each node size supports a maximum number of disks. Different node sizes also provide different amounts of local storage and network bandwidth. Plan for your application demands to deploy the appropriate size of nodes.
Storage,storage,Dynamically provision volumes,73bc99bd-fea4-4a45-99a8-140628af2100,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#dynamically-provision-volumes,,,,,,"To reduce management overhead and let you scale, don't statically create and assign persistent volumes. Use dynamic provisioning. In your storage classes, define the appropriate reclaim policy to minimize unneeded storage costs once pods are deleted."
Storage,storage,Secure and back up your data,cf81fcb1-ee4c-4b14-920b-21789aebb1a1,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#secure-and-back-up-your-data,,,,,,"Back up your data using an appropriate tool for your storage type, such as Velero or Azure Site Recovery"
Storage,storage,Make your storage resilient,645758eb-a599-4235-90aa-233e848cdc04,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#remove-service-state-from-inside-containers,,,,,,"Where possible, don't store service state inside the container. Instead, use an Azure platform as a service (PaaS) that supports multiregion replication."
Windows,windows,Map the base image to node OS,704cf290-d604-4914-beb3-f0a667fbf962,,High,https://docs.microsoft.com/en-us/virtualization/windowscontainers/deploy-containers/version-compatibility?tabs=windows-server-2019%2Cwindows-10-1909,,,,,,"Windows has strict compatibility rules, where the host OS version must match the container base image OS version. Only Windows containers with a container operating system of Windows Server 2019 are supported."
Windows,windows,Prepare your application for an abrupt kill,3b1ef4d7-689b-451b-ba78-b026fedb847f,,Medium,https://cloud.google.com/blog/products/gcp/kubernetes-best-practices-terminating-with-grace,,,,,,TerminationGracePeriod is not implemented on Windows containers
Windows,windows,Don't use privileged containers,9cd0abbb-d923-4a62-a166-8ec316bc8255,,Medium,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,Windows containers do not support elevation of privilege
Windows,windows,Watch for memory usage,538a4a0c-2ea0-44c6-8f8d-6a7433ff047c,,Medium,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,"There are no OOM eviction actions taken by the kubelet. Windows always treats all user-mode memory allocations as virtual, and pagefiles are mandatory. If memory is over-provisioned and all physical memory is exhausted, then paging can slow down performance."
Windows,windows,Implement CNI network mode,b9474033-230c-4149-b92f-d2943c9f3a31,,High,https://docs.microsoft.com/en-us/azure/aks/windows-node-limitations#what-network-plug-ins-are-supported,,,,,,AKS clusters with Windows node pools must use the Azure CNI (advanced) networking model. Kubenet (basic) networking is not supported. 
Windows,windows,Patch your nodes yourself,dd10316d-9eaf-4b4c-9833-93df33b370fe,,High,https://docs.microsoft.com/en-us/azure/aks/windows-node-limitations#how-do-patch-my-windows-nodes,,,,,,"Windows Server nodes in AKS must be upgraded to get the latest patch fixes and updates. Windows Updates are not enabled on nodes in AKS. AKS releases new node pool images as soon as patches are available, it is the customers responsibility to upgrade node pools to stay current on patches and hotfix. "
Windows,windows,Secure the traffic of your containers,9ad34019-4668-4c17-b909-65db30d7f430,,High,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,"Network policies are currently not supported, ensure that the containerized applications have a layer of protection like authentication "
Windows,windows,Enable Group Managed Service Accounts (GMSA) for your Windows Server nodes,cfa05a43-2aa7-44a9-bb0d-64e666f79240,,Medium,https://docs.microsoft.com/en-gb/azure/aks/use-group-managed-service-accounts,,,,,,"Group Managed Service Accounts (GMSA) is a managed domain account for multiple servers that provides automatic password management, simplified service principal name (SPN) management and the ability to delegate the management to other administrators."
